index,Timestamp,In The Lead,Vote Margin,Votes Remaining (est.),Change,State,Leader Batch Breakdown,Trailer Batch Breakdown,Trailer Batch Trend,Trailer Hurdle,Margin_change_estimate,Type,Batch Votes Winner,Batch Votes Loser,Accum. Votes Winner,Accum. Votes Loser
0,2020-11-23 20:33:25+00:00,Trump,591546,4,2476.0,Alabama,44.2,55.8,58.5,7499241.2,286.0,,1095.0,1381.0,1441170.0,849624.0
1,2020-11-23 20:11:23+00:00,Trump,591832,2521,5894.0,Alabama,50.6,49.4,55.0,11954.5,72.0,,2983.0,2911.0,1438187.0,846713.0
2,2020-11-23 19:48:16+00:00,Trump,591760,8534,4792.0,Alabama,61.2,38.8,47.8,3566.2,1074.0,,2933.0,1859.0,1435254.0,844854.0
3,2020-11-06 22:26:37+00:00,Trump,590686,13386,12548.0,Alabama,28.6,71.4,44.9,2287.6,5360.0,,3831.0,8717.0,1431423.0,836137.0
4,2020-11-04 21:12:19+00:00,Trump,595572,25662,10.0,Alabama,30.0,70.0,49.4,1226.9,4.0,,3.0,7.0,1431420.0,836130.0
5,2020-11-04 21:00:38+00:00,Trump,595576,25815,2938.0,Alabama,59.2,40.8,49.5,1219.9,542.0,,703.0,2235.0,1430717.0,833895.0
6,2020-11-04 20:23:38+00:00,Trump,597108,28830,13958.0,Alabama,86.9,13.1,50.1,1100.3,10298.0,,12128.0,1830.0,1418589.0,832065.0
7,2020-11-04 17:16:47+00:00,Trump,586810,43805,48782.0,Alabama,17.7,82.3,82.3,729.3,31534.0,,8624.0,40158.0,1409965.0,791907.0
8,2020-11-04 13:28:22+00:00,Trump,618344,93031,0.0,Alabama,,,,387.0,582171.0,,1401341.0,751749.0,1401341.0,751749.0
9,2020-12-02 15:22:19+00:00,Trump,36173,31816,587.0,Alaska,22.7,77.3,49.4,109.5,,,359.5,227.5,189951.0,153778.0
10,2020-11-25 02:25:12+00:00,Trump,36041,32544,432.0,Alaska,13.7,86.3,49.6,107.9,314.0,,283.5,148.5,189667.5,153629.5
11,2020-11-19 13:18:50+00:00,Trump,35906,34550,6977.0,Alaska,52.9,47.1,49.0,104.4,399.0,,3688.0,3289.0,185979.5,150340.5
12,2020-11-16 17:16:11+00:00,Trump,35507,41873,9404.0,Alaska,43.7,56.3,51.4,94.3,1188.0,,4108.0,5296.0,181871.5,145044.5
13,2020-11-15 18:50:50+00:00,Trump,36695,51823,4510.0,Alaska,57.2,42.8,53.4,87.0,652.0,,2581.0,1929.0,179290.5,143115.5
14,2020-11-14 02:45:23+00:00,Trump,36043,56557,10814.0,Alaska,54.1,45.9,56.6,83.3,880.0,,5847.0,4967.0,173443.5,138148.5
15,2020-11-13 13:58:29+00:00,Trump,35163,66152,11116.0,Alaska,38.5,61.5,63.2,77.8,2558.0,,4279.0,6837.0,169164.5,131311.5
16,2020-11-13 02:28:29+00:00,Trump,37721,79313,24451.0,Alaska,35.8,64.2,62.2,74.9,6929.0,,8761.0,15690.0,160403.5,115621.5
17,2020-11-12 16:47:02+00:00,Trump,44650,104558,25032.0,Alaska,46.2,53.8,53.7,72.3,1894.0,,11569.0,13463.0,148834.5,102158.5
18,2020-11-11 13:19:23+00:00,Trump,46544,130363,19943.0,Alaska,46.9,53.1,54.4,68.7,1223.0,,9360.0,10583.0,139474.5,91575.5
19,2020-11-11 02:51:01+00:00,Trump,47767,151112,47671.0,Alaska,42.8,57.2,57.2,66.5,6831.0,,20420.0,27251.0,119054.5,64324.5
20,2020-11-09 19:14:19+00:00,Trump,54598,200376,18010.0,Alaska,58.9,41.1,36.2,64.3,3216.0,,10613.0,7397.0,108441.5,56927.5
21,2020-11-04 18:40:57+00:00,Trump,51382,219315,38323.0,Alaska,71.1,28.9,28.9,62.3,16141.0,,27232.0,11091.0,81209.5,45836.5
22,2020-11-04 13:28:22+00:00,Trump,35241,258871,0.0,Alaska,,,,57.1,24784.0,,53978.0,34746.0,53978.0,34746.0
23,2020-11-16 18:51:33+00:00,Biden,10457,18,98.0,Arizona,90.8,9.2,53.7,29563.3,80.0,,89.0,9.0,1672143.0,1661686.0
24,2020-11-15 01:35:27+00:00,Biden,10377,116,421.0,Arizona,69.8,30.2,53.9,4594.6,167.0,,294.0,127.0,1671849.0,1661559.0
25,2020-11-14 23:57:27+00:00,Biden,10210,541,344.0,Arizona,78.2,21.8,54.2,1008.8,194.0,,269.0,75.0,1671580.0,1661484.0
26,2020-11-14 01:21:23+00:00,Biden,10016,891,1416.0,Arizona,45.8,54.2,54.6,621.1,120.0,,648.0,768.0,1670932.0,1660716.0
27,2020-11-14 00:59:43+00:00,Biden,10136,2345,1610.0,Arizona,22.5,77.5,54.5,269.6,886.0,,362.0,1248.0,1670570.0,1659468.0
28,2020-11-14 00:30:24+00:00,Biden,11022,3993,406.0,Arizona,54.4,45.6,53.0,190.2,36.0,,220.0,186.0,1670350.0,1659282.0
29,2020-11-13 18:16:31+00:00,Biden,10988,4419,3598.0,Arizona,43.8,56.2,53.1,176.3,446.0,,1576.0,2022.0,1668774.0,1657260.0
30,2020-11-13 04:20:29+00:00,Biden,11434,8100,3978.0,Arizona,55.0,45.0,52.7,121.7,400.0,,2189.0,1789.0,1666585.0,1655471.0
31,2020-11-13 00:49:46+00:00,Biden,11034,12157,1102.0,Arizona,33.8,66.2,54.2,96.1,356.0,,373.0,729.0,1666212.0,1654742.0
32,2020-11-12 21:46:24+00:00,Biden,11390,13279,5470.0,Arizona,48.7,51.3,54.5,93.6,146.0,,2661.5,2808.5,1663550.5,1651933.5
