record_id,index,Timestamp,In The Lead,Vote Margin,Votes Remaining (est.),Change,State,Leader Batch Breakdown,Trailer Batch Breakdown,Trailer Batch Trend,Trailer Hurdle,Margin_change_estimate,Type
0,0,2021-01-05 15:21:52 UTC,Trump,591546,4,Unknown,Alabama,9.1,109.1,58.5,7499241.2,,
1,1,2020-12-04 21:12:00 UTC,Trump,591520,Unknown,22,Alabama,9.1,109.1,58.5,,,
2,2,2020-11-23 20:33:25 UTC,Trump,591546,4,2476,Alabama,44.2,55.8,58.5,7499241.2,,
3,3,2020-11-23 20:11:23 UTC,Trump,591832,2521,5894,Alabama,50.6,49.4,55.0,11954.5,,
4,4,2020-11-23 19:48:16 UTC,Trump,591760,8534,4792,Alabama,61.2,38.8,47.8,3566.2,,
5,5,2020-11-11 03:23:42 UTC,Trump,590686,13386,0,Alabama,,,44.9,2287.6,,
6,6,2020-11-06 22:26:37 UTC,Trump,590686,13386,12548,Alabama,28.6,71.4,44.9,2287.6,,
7,7,2020-11-06 18:40:11 UTC,Trump,596046,26070,Unknown,Alabama,5.9,105.9,49.1,1209.4,,
8,8,2020-11-04 21:12:19 UTC,Trump,595572,25662,10,Alabama,30.0,70.0,49.4,1226.9,,
9,9,2020-11-04 21:00:38 UTC,Trump,595576,25815,2938,Alabama,59.2,40.8,49.5,1219.9,,
10,10,2020-11-04 20:28:27 UTC,Trump,595034,28763,54,Alabama,1870.4,1970.4,53.5,1099.0,,
11,11,2020-11-04 20:23:38 UTC,Trump,597108,28830,13958,Alabama,86.9,13.1,50.1,1100.3,,
12,12,2020-11-04 17:16:47 UTC,Trump,586810,43805,48782,Alabama,17.7,82.3,82.3,729.3,,
13,13,2020-11-04 13:28:22 UTC,Trump,618344,93031,0,Alabama,,,,387.0,,
14,14,2020-12-02 19:04:28 UTC,Trump,36173,31816,0,Alaska,,,49.4,109.5,,
15,15,2020-12-02 17:18:21 UTC,Trump,36173,31816,0,Alaska,,,49.4,109.5,,
16,16,2020-12-02 16:33:22 UTC,Trump,36173,31816,0,Alaska,,,49.4,109.5,,
17,17,2020-12-02 15:22:19 UTC,Trump,36173,31816,587,Alaska,22.7,77.3,49.4,109.5,,
18,18,2020-12-01 18:45:19 UTC,Trump,36494,34120,0,Alaska,,,48.8,105.9,,
19,19,2020-12-01 17:33:19 UTC,Trump,36494,34178,1,Alaska,300.0,200.0,48.8,105.8,,
20,20,2020-12-01 14:22:19 UTC,Trump,36489,34232,96,Alaska,283.3,183.3,48.8,105.7,,
21,21,2020-11-25 02:25:12 UTC,Trump,36041,32544,432,Alaska,13.7,86.3,49.6,107.9,,
22,22,2020-11-25 01:59:12 UTC,Trump,36355,34858,Unknown,Alaska,6.8,106.8,48.2,104.5,,
23,23,2020-11-24 13:22:21 UTC,Trump,35906,34550,0,Alaska,,,49.0,104.4,,
24,24,2020-11-19 13:18:50 UTC,Trump,35906,34550,6977,Alaska,52.9,47.1,49.0,104.4,,
25,25,2020-11-18 17:25:33 UTC,Trump,35507,41873,0,Alaska,,,51.4,94.3,,
26,26,2020-11-16 17:16:11 UTC,Trump,35507,41873,9404,Alaska,43.7,56.3,51.4,94.3,,
27,27,2020-11-15 18:50:50 UTC,Trump,36695,51823,4510,Alaska,57.2,42.8,53.4,87.0,,
28,28,2020-11-14 02:45:23 UTC,Trump,36043,56557,10814,Alaska,54.1,45.9,56.6,83.3,,
29,29,2020-11-13 14:17:31 UTC,Trump,35163,66152,0,Alaska,,,63.2,77.8,,
30,30,2020-11-13 13:58:29 UTC,Trump,35163,66152,11116,Alaska,38.5,61.5,63.2,77.8,,
31,31,2020-11-13 02:28:29 UTC,Trump,37721,79313,24451,Alaska,35.8,64.2,62.2,74.9,,
32,32,2020-11-12 16:47:02 UTC,Trump,44650,104558,25032,Alaska,46.2,53.8,53.7,72.3,,
33,33,2020-11-11 22:51:34 UTC,Trump,46544,130363,0,Alaska,,,54.4,68.7,,
34,34,2020-11-11 13:19:23 UTC,Trump,46544,130363,19943,Alaska,46.9,53.1,54.4,68.7,,
35,35,2020-11-11 02:59:01 UTC,Trump,47767,151112,0,Alaska,,,57.2,66.5,,
36,36,2020-11-11 02:51:01 UTC,Trump,47767,151112,47671,Alaska,42.8,57.2,57.2,66.5,,
37,37,2020-11-09 19:14:19 UTC,Trump,54598,200376,18010,Alaska,58.9,41.1,36.2,64.3,,
38,38,2020-11-04 18:40:57 UTC,Trump,51382,219315,38323,Alaska,71.1,28.9,28.9,62.3,,
39,39,2020-11-04 13:28:22 UTC,Trump,35241,258871,0,Alaska,,,,57.1,,
40,40,2020-11-30 21:15:17 UTC,Biden,10457,Unknown,0,Arizona,,,53.7,,,
41,41,2020-11-23 19:19:23 UTC,Biden,10457,18,0,Arizona,,,53.7,29563.3,,
42,42,2020-11-16 18:51:33 UTC,Biden,10457,18,98,Arizona,90.8,9.2,53.7,29563.3,,
43,43,2020-11-15 01:35:27 UTC,Biden,10377,116,421,Arizona,69.8,30.2,53.9,4594.6,,
44,44,2020-11-14 23:57:27 UTC,Biden,10210,541,344,Arizona,78.2,21.8,54.2,1008.8,,
45,45,2020-11-14 16:39:04 UTC,Biden,10016,891,0,Arizona,,,54.6,621.1,,
46,46,2020-11-14 01:21:23 UTC,Biden,10016,891,1416,Arizona,45.8,54.2,54.6,621.1,,
47,47,2020-11-14 00:59:43 UTC,Biden,10136,2345,1610,Arizona,22.5,77.5,54.5,269.6,,
48,48,2020-11-14 00:30:24 UTC,Biden,11022,3993,406,Arizona,54.4,45.6,53.0,190.2,,
49,49,2020-11-13 21:47:22 UTC,Biden,10986,4417,2,Arizona,0.0,100.0,53.1,176.4,,
50,50,2020-11-13 18:16:31 UTC,Biden,10988,4419,3598,Arizona,43.8,56.2,53.1,176.3,,
51,51,2020-11-13 04:20:29 UTC,Biden,11434,8100,3978,Arizona,55.0,45.0,52.7,121.7,,
52,52,2020-11-13 00:49:46 UTC,Biden,11034,12157,1102,Arizona,33.8,66.2,54.2,96.1,,
53,53,2020-11-12 21:46:24 UTC,Biden,11390,13279,5470,Arizona,48.7,51.3,54.5,93.6,,
54,54,2020-11-12 21:31:23 UTC,Biden,11536,18868,1,Arizona,0.0,100.0,55.1,81.1,,
55,55,2020-11-12 17:27:43 UTC,Biden,11537,18869,124,Arizona,10.5,89.5,55.1,81.1,,
56,56,2020-11-12 03:20:22 UTC,Biden,11635,18996,12845,Arizona,45.4,54.6,55.0,81.1,,
57,57,2020-11-11 23:14:54 UTC,Biden,12828,32139,4843,Arizona,50.2,49.8,56.1,70.3,,
58,58,2020-11-11 22:51:34 UTC,Biden,12813,37105,0,Arizona,,,57.7,67.5,,
59,59,2020-11-11 03:23:42 UTC,Biden,12813,37105,0,Arizona,,,57.7,67.5,,
60,60,2020-11-11 02:17:41 UTC,Biden,12813,37105,5195,Arizona,42.6,57.4,57.7,67.5,,
61,61,2020-11-11 01:51:41 UTC,Biden,13582,42396,330,Arizona,60.9,39.1,58.1,66.3,,
62,62,2020-11-11 01:16:21 UTC,Biden,13510,42738,378,Arizona,16.4,83.6,58.3,66.1,,
63,63,2020-11-11 00:49:41 UTC,Biden,13764,43122,1188,Arizona,30.8,69.2,58.0,66.2,,
64,64,2020-11-11 00:24:41 UTC,Biden,14220,44350,63,Arizona,55.6,44.4,57.6,66.3,,
65,65,2020-11-10 23:21:41 UTC,Biden,14213,44414,897,Arizona,35.8,64.2,57.7,66.3,,
66,66,2020-11-10 21:44:40 UTC,Biden,14468,45328,6967,Arizona,48.1,51.9,57.5,66.2,,
67,67,2020-11-10 20:17:01 UTC,Biden,14733,50808,15,Arizona,6.7,93.3,58.7,64.7,,
68,68,2020-11-10 02:18:36 UTC,Biden,14746,50823,6252,Arizona,48.9,51.1,58.7,64.7,,
69,69,2020-11-10 00:51:18 UTC,Biden,14886,57220,588,Arizona,38.6,61.4,57.1,63.2,,
70,70,2020-11-10 00:02:51 UTC,Biden,15020,57820,576,Arizona,14.2,85.8,56.6,63.2,,
71,71,2020-11-09 22:23:05 UTC,Biden,15432,58411,3332,Arizona,30.5,69.5,55.7,63.4,,
