,datetime,candidate,votes,state,district,type
0,2020-11-23 20:33:25+00:00,Trump,1095,Alabama,,
1,2020-11-23 20:33:25+00:00,Biden,1381,Alabama,,
2,2020-11-23 20:11:23+00:00,Trump,2983,Alabama,,
3,2020-11-23 20:11:23+00:00,Biden,2911,Alabama,,
4,2020-11-23 19:48:16+00:00,Trump,2933,Alabama,,
5,2020-11-23 19:48:16+00:00,Biden,1859,Alabama,,
6,2020-11-06 22:26:37+00:00,Trump,3831,Alabama,,
7,2020-11-06 22:26:37+00:00,Biden,8717,Alabama,,
8,2020-11-04 21:12:19+00:00,Trump,3,Alabama,,
9,2020-11-04 21:12:19+00:00,Biden,7,Alabama,,
10,2020-11-04 21:00:38+00:00,Trump,703,Alabama,,
11,2020-11-04 21:00:38+00:00,Biden,2235,Alabama,,
12,2020-11-04 20:23:38+00:00,Trump,12128,Alabama,,
13,2020-11-04 20:23:38+00:00,Biden,1830,Alabama,,
14,2020-11-04 17:16:47+00:00,Trump,8624,Alabama,,
15,2020-11-04 17:16:47+00:00,Biden,40158,Alabama,,
16,2020-11-04 13:28:22+00:00,Trump,1401341,Alabama,,
17,2020-11-04 13:28:22+00:00,Biden,751749,Alabama,,
18,2020-12-02 15:22:19+00:00,Trump,359,Alaska,,
19,2020-12-02 15:22:19+00:00,Biden,227,Alaska,,
20,2020-11-25 02:25:12+00:00,Trump,283,Alaska,,
21,2020-11-25 02:25:12+00:00,Biden,148,Alaska,,
22,2020-11-19 13:18:50+00:00,Trump,3688,Alaska,,
23,2020-11-19 13:18:50+00:00,Biden,3289,Alaska,,
24,2020-11-16 17:16:11+00:00,Trump,4108,Alaska,,
25,2020-11-16 17:16:11+00:00,Biden,5296,Alaska,,
26,2020-11-15 18:50:50+00:00,Trump,2581,Alaska,,
27,2020-11-15 18:50:50+00:00,Biden,1929,Alaska,,
28,2020-11-14 02:45:23+00:00,Trump,5847,Alaska,,
29,2020-11-14 02:45:23+00:00,Biden,4967,Alaska,,
30,2020-11-13 13:58:29+00:00,Trump,4279,Alaska,,
31,2020-11-13 13:58:29+00:00,Biden,6837,Alaska,,
32,2020-11-13 02:28:29+00:00,Trump,8761,Alaska,,
33,2020-11-13 02:28:29+00:00,Biden,15690,Alaska,,
34,2020-11-12 16:47:02+00:00,Trump,11569,Alaska,,
35,2020-11-12 16:47:02+00:00,Biden,13463,Alaska,,
36,2020-11-11 13:19:23+00:00,Trump,9360,Alaska,,
37,2020-11-11 13:19:23+00:00,Biden,10583,Alaska,,
38,2020-11-11 02:51:01+00:00,Trump,20420,Alaska,,
39,2020-11-11 02:51:01+00:00,Biden,27251,Alaska,,
40,2020-11-09 19:14:19+00:00,Trump,10613,Alaska,,
41,2020-11-09 19:14:19+00:00,Biden,7397,Alaska,,
42,2020-11-04 18:40:57+00:00,Trump,27232,Alaska,,
43,2020-11-04 18:40:57+00:00,Biden,11091,Alaska,,
44,2020-11-04 13:28:22+00:00,Trump,53978,Alaska,,
45,2020-11-04 13:28:22+00:00,Biden,34746,Alaska,,
46,2020-11-16 18:51:33+00:00,Biden,89,Arizona,,
47,2020-11-16 18:51:33+00:00,Trump,9,Arizona,,
48,2020-11-15 01:35:27+00:00,Biden,294,Arizona,,
49,2020-11-15 01:35:27+00:00,Trump,127,Arizona,,
50,2020-11-14 23:57:27+00:00,Biden,269,Arizona,,
