Timestamp,In The Lead,Vote Margin,Votes Remaining (est.),Change,State,Leader Batch Breakdown,Trailer Batch Breakdown,Trailer Batch Trend,Trailer Hurdle,Type,index,Batch Votes Winner,Batch Votes Loser,Accum. Votes Winner,Accum. Votes Loser
2020-11-11 03:23:42 UTC,Trump,590686,13386,0,Alabama,,,44.9,2287.6,removed-zero-batch,,,,,
2020-12-02 19:04:28 UTC,Trump,36173,31816,0,Alaska,,,49.4,109.5,removed-zero-batch,,,,,
2020-12-02 17:18:21 UTC,Trump,36173,31816,0,Alaska,,,49.4,109.5,removed-zero-batch,,,,,
2020-12-02 16:33:22 UTC,Trump,36173,31816,0,Alaska,,,49.4,109.5,removed-zero-batch,,,,,
2020-12-01 18:45:19 UTC,Trump,36494,34120,0,Alaska,,,48.8,105.9,removed-zero-batch,,,,,
2020-11-24 13:22:21 UTC,Trump,35906,34550,0,Alaska,,,49.0,104.4,removed-zero-batch,,,,,
2020-11-18 17:25:33 UTC,Trump,35507,41873,0,Alaska,,,51.4,94.3,removed-zero-batch,,,,,
2020-11-13 14:17:31 UTC,Trump,35163,66152,0,Alaska,,,63.2,77.8,removed-zero-batch,,,,,
2020-11-11 22:51:34 UTC,Trump,46544,130363,0,Alaska,,,54.4,68.7,removed-zero-batch,,,,,
2020-11-11 02:59:01 UTC,Trump,47767,151112,0,Alaska,,,57.2,66.5,removed-zero-batch,,,,,
2020-11-30 19:11:18 UTC,Trump,336715,Unknown,0,Arkansas,,,44.7,,removed-zero-batch,,,,,
2020-11-24 13:30:24 UTC,Trump,336134,1328,0,Arkansas,,,44.4,13074.1,removed-zero-batch,,,,,
2020-11-14 16:39:04 UTC,Trump,338925,7276,0,Arkansas,,,34.4,2446.9,removed-zero-batch,,,,,
2020-11-11 03:23:42 UTC,Trump,339001,9697,0,Arkansas,,,32.2,1848.9,removed-zero-batch,,,,,
2020-12-05 21:12:18 UTC,Biden,5103803,Unknown,0,California,,,48.3,,removed-zero-batch,,,,,
2020-12-02 08:43:27 UTC,Biden,5102257,34518,0,California,,,45.5,7604.9,removed-zero-batch,,,,,
2020-12-02 05:44:27 UTC,Biden,5102257,34518,0,California,,,45.5,7604.9,removed-zero-batch,,,,,
2020-12-02 02:44:21 UTC,Biden,5102257,34518,0,California,,,45.5,7604.9,removed-zero-batch,,,,,
2020-12-02 00:43:30 UTC,Biden,5102257,34518,0,California,,,45.5,7604.9,removed-zero-batch,,,,,
2020-11-24 13:22:21 UTC,Biden,5085071,140581,0,California,,,50.1,1898.8,removed-zero-batch,,,,,
2020-11-24 05:44:16 UTC,Biden,5085171,165892,0,California,,,44.9,1616.7,removed-zero-batch,,,,,
2020-11-24 02:47:15 UTC,Biden,5085171,165892,0,California,,,44.9,1616.7,removed-zero-batch,,,,,
2020-11-23 23:46:29 UTC,Biden,5085171,165892,0,California,,,44.9,1616.7,removed-zero-batch,,,,,
2020-11-23 20:43:15 UTC,Biden,5085171,165892,0,California,,,44.9,1616.7,removed-zero-batch,,,,,
2020-11-18 02:45:25 UTC,Biden,5059003,349424,0,California,,,47.5,790.0,removed-zero-batch,,,,,
2020-11-17 01:20:33 UTC,Biden,5025923,586747,0,California,,,25.6,487.8,removed-zero-batch,,,,,
2020-11-16 23:37:14 UTC,Biden,5025923,586747,0,California,,,25.6,487.8,removed-zero-batch,,,,,
2020-11-14 16:39:04 UTC,Biden,5006839,673763,0,California,,,41.4,429.8,removed-zero-batch,,,,,
2020-11-14 02:43:45 UTC,Biden,4921826,1187493,0,California,,,48.1,261.8,removed-zero-batch,,,,,
2020-11-13 23:38:25 UTC,Biden,4921826,1187493,0,California,,,48.1,261.8,removed-zero-batch,,,,,
2020-11-13 23:11:42 UTC,Biden,4921826,1187493,0,California,,,48.1,261.8,removed-zero-batch,,,,,
2020-11-13 20:43:56 UTC,Biden,4921826,1187493,0,California,,,48.1,261.8,removed-zero-batch,,,,,
2020-11-13 02:44:09 UTC,Biden,4921826,1187493,0,California,,,48.1,261.8,removed-zero-batch,,,,,
2020-11-11 22:51:34 UTC,Biden,4900695,1520677,0,California,,,51.3,214.7,removed-zero-batch,,,,,
2020-11-11 03:23:42 UTC,Biden,4901610,1558190,0,California,,,40.9,210.8,removed-zero-batch,,,,,
2020-11-11 02:35:20 UTC,Biden,4730457,2522262,0,California,,,25.8,145.9,removed-zero-batch,,,,,
2020-11-11 01:36:01 UTC,Biden,4730457,2522262,0,California,,,25.8,145.9,removed-zero-batch,,,,,
2020-11-11 01:16:21 UTC,Biden,4730457,2522262,0,California,,,25.8,145.9,removed-zero-batch,,,,,
2020-11-11 00:49:41 UTC,Biden,4730457,2522262,0,California,,,25.8,145.9,removed-zero-batch,,,,,
2020-11-11 00:24:41 UTC,Biden,4730457,2522262,0,California,,,25.8,145.9,removed-zero-batch,,,,,
2020-11-10 23:38:41 UTC,Biden,4730457,2522262,0,California,,,25.8,145.9,removed-zero-batch,,,,,
2020-11-10 22:19:21 UTC,Biden,4730457,2522262,0,California,,,25.8,145.9,removed-zero-batch,,,,,
2020-11-10 20:41:20 UTC,Biden,4730457,2522262,0,California,,,25.8,145.9,removed-zero-batch,,,,,
2020-11-10 05:37:57 UTC,Biden,4730457,2522262,0,California,,,25.8,145.9,removed-zero-batch,,,,,
2020-11-10 02:37:40 UTC,Biden,4730457,2522262,0,California,,,25.8,145.9,removed-zero-batch,,,,,
2020-11-10 02:18:36 UTC,Biden,4730457,2522262,0,California,,,25.8,145.9,removed-zero-batch,,,,,
2020-11-08 02:41:32 UTC,Biden,4027593,4924979,0,California,,,45.1,91.8,removed-zero-batch,,,,,
2020-11-08 02:37:03 UTC,Biden,4027593,4924979,0,California,,,45.1,91.8,removed-zero-batch,,,,,
2020-11-07 23:38:51 UTC,Biden,4027593,4924979,0,California,,,45.1,91.8,removed-zero-batch,,,,,
2020-11-07 20:42:06 UTC,Biden,4027593,4924979,0,California,,,45.1,91.8,removed-zero-batch,,,,,
2020-11-07 05:41:05 UTC,Biden,4027593,4924979,0,California,,,45.1,91.8,removed-zero-batch,,,,,
2020-11-07 02:38:15 UTC,Biden,4027593,4924979,0,California,,,45.1,91.8,removed-zero-batch,,,,,
2020-11-07 01:56:26 UTC,Biden,4027593,4924979,0,California,,,45.1,91.8,removed-zero-batch,,,,,
2020-11-07 01:47:07 UTC,Biden,4027593,4924979,0,California,,,45.1,91.8,removed-zero-batch,,,,,
2020-11-07 01:40:56 UTC,Biden,4027593,4924979,0,California,,,45.1,91.8,removed-zero-batch,,,,,
2020-11-07 01:28:19 UTC,Biden,4027593,4924979,0,California,,,45.1,91.8,removed-zero-batch,,,,,
2020-11-07 00:43:16 UTC,Biden,4027593,4924979,0,California,,,45.1,91.8,removed-zero-batch,,,,,
2020-11-06 23:43:16 UTC,Biden,4027593,4924979,0,California,,,45.1,91.8,removed-zero-batch,,,,,
2020-11-06 08:37:14 UTC,Biden,4027593,4924979,0,California,,,45.1,91.8,removed-zero-batch,,,,,
2020-11-06 05:41:02 UTC,Biden,4027593,4924979,0,California,,,45.1,91.8,removed-zero-batch,,,,,
2020-11-06 02:37:26 UTC,Biden,4027593,4924979,0,California,,,45.1,91.8,removed-zero-batch,,,,,
2020-11-06 01:55:21 UTC,Biden,4020732,4996345,0,California,,,27.3,91.1,removed-zero-batch,,,,,
