Timestamp,In The Lead,Vote Margin,Votes Remaining (est.),Batch Total,Margin Change,Acc. Votes Winner,Acc. Votes Loser,Total Votes,Hurdle Calc,State,Leader Batch Breakdown,Trailer Batch Breakdown,Trailer Batch Trend,Trailer Hurdle
2020-11-23 20:33:25 UTC,Trump,591546,4,2476,-287.216,1441170,849624,2290794,591546,Alabama,44.2,55.8,58.5,7499241.2
2020-11-23 20:11:23 UTC,Trump,591832,2521,5894,70.728,1441457,846861,2288318,594596,Alabama,50.6,49.4,55,11954.5
2020-11-23 19:48:16 UTC,Trump,591760,8534,4792,1073.408,1441386,841038,2282424,600348,Alabama,61.2,38.8,47.8,3566.2
2020-11-11 03:23:42 UTC,Trump,590686,13386,0,0,1440313,837319,2277632,602994,Alabama,,,44.9,2287.6
2020-11-06 22:26:37 UTC,Trump,590686,13386,12548,-5370.544,1440313,837319,2277632,602994,Alabama,28.6,71.4,44.9,2287.6
2020-11-06 18:40:11 UTC,Trump,596046,26070,136,-136,1445684,819400,2265084,626284,Alabama,5.9,105.9,49.1,1209.4
2020-11-04 21:12:19 UTC,Trump,595572,25662,10,-4,1445820,819128,2264948,626692,Alabama,30,70,49.4,1226.9
2020-11-04 21:00:38 UTC,Trump,595576,25815,2938,540.592,1445824,819114,2264938,626710,Alabama,59.2,40.8,49.5,1219.9
2020-11-04 20:28:27 UTC,Trump,595034,28763,54,-54,1445283,816717,2262000,628566,Alabama,1870.4,1970.4,53.5,1099
2020-11-04 20:23:38 UTC,Trump,597108,28830,13958,10301.004,1445337,816609,2261946,628728,Alabama,86.9,13.1,50.1,1100.3
2020-11-04 17:16:47 UTC,Trump,586810,43805,48782,-31513.172,1435036,812952,2247988,622084,Alabama,17.7,82.3,82.3,729.3
2020-11-04 13:28:22 UTC,Trump,618344,93031,0,0,1466549,732657,2199206,733892,Alabama,,,,387
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
